cluster_key,freight_to_dealer,cash_discount,distributor_margin,additional_price_support,jsw_one_ecp,company_scheme,distributor_scheme
CHANDIGARH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DELHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HARYANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIMACHAL_PRADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAMMU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUNJAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAJASTHAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRINAGAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTTARAKHAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTTAR_PRADESH,0.0,0.0,0.0,0.0,0.0,0.0,0.0
