pincode,district,cluster_key,team
813105,BHAGALPUR,BIHAR,East
813203,BHAGALPUR,BIHAR,East
853202,BHAGALPUR,BIHAR,East
813222,BHAGALPUR,BIHAR,East
812005,BHAGALPUR,BIHAR,East
853203,BHAGALPUR,BIHAR,East
812006,BHAGALPUR,BIHAR,East
853204,BHAGALPUR,BIHAR,East
813209,BHAGALPUR,BIHAR,East
853205,BHAGALPUR,BIHAR,East
813210,BHAGALPUR,BIHAR,East
813108,BHAGALPUR,BIHAR,East
813213,BHAGALPUR,BIHAR,East
853201,BHAGALPUR,BIHAR,East
812004,BHAGALPUR,BIHAR,East
813204,BHAGALPUR,BIHAR,East
813205,BHAGALPUR,BIHAR,East
813206,BHAGALPUR,BIHAR,East
812001,BHAGALPUR,BIHAR,East
812003,BHAGALPUR,BIHAR,East
812002,BHAGALPUR,BIHAR,East
813214,BHAGALPUR,BIHAR,East
812007,BHAGALPUR,BIHAR,East
813212,BANKA,BIHAR,East
813207,BANKA,BIHAR,East
813110,BANKA,BIHAR,East
813109,BANKA,BIHAR,East
813107,BANKA,BIHAR,East
813211,BANKA,BIHAR,East
813101,BANKA,BIHAR,East
813103,BANKA,BIHAR,East
813202,BANKA,BIHAR,East
813104,BANKA,BIHAR,East
814131,BANKA,BIHAR,East
813106,BANKA,BIHAR,East
813102,BANKA,BIHAR,East
851210,BEGUSARAI,BIHAR,East
851127,BEGUSARAI,BIHAR,East
848201,BEGUSARAI,BIHAR,East
851113,BEGUSARAI,BIHAR,East
851111,BEGUSARAI,BIHAR,East
851112,BEGUSARAI,BIHAR,East
851120,BEGUSARAI,BIHAR,East
848204,BEGUSARAI,BIHAR,East
851211,BEGUSARAI,BIHAR,East
851128,BEGUSARAI,BIHAR,East
851118,BEGUSARAI,BIHAR,East
848202,BEGUSARAI,BIHAR,East
851129,BEGUSARAI,BIHAR,East
851130,BEGUSARAI,BIHAR,East
851131,BEGUSARAI,BIHAR,East
851117,BEGUSARAI,BIHAR,East
851217,BEGUSARAI,BIHAR,East
851132,BEGUSARAI,BIHAR,East
851218,BEGUSARAI,BIHAR,East
851133,BEGUSARAI,BIHAR,East
851134,BEGUSARAI,BIHAR,East
851126,BEGUSARAI,BIHAR,East
851116,BEGUSARAI,BIHAR,East
851101,BEGUSARAI,BIHAR,East
851114,BEGUSARAI,BIHAR,East
851135,BEGUSARAI,BIHAR,East
851115,BEGUSARAI,BIHAR,East
847451,SUPAUL,BIHAR,East
852130,SUPAUL,BIHAR,East
852131,SUPAUL,BIHAR,East
852137,SUPAUL,BIHAR,East
852138,SUPAUL,BIHAR,East
852139,SUPAUL,BIHAR,East
852108,SUPAUL,BIHAR,East
852109,SUPAUL,BIHAR,East
852110,SUPAUL,BIHAR,East
852133,SUPAUL,BIHAR,East
847452,SUPAUL,BIHAR,East
852214,SUPAUL,BIHAR,East
852111,SUPAUL,BIHAR,East
852215,SUPAUL,BIHAR,East
852218,SUPAUL,BIHAR,East
852125,SUPAUL,BIHAR,East
854339,SUPAUL,BIHAR,East
852105,SUPAUL,BIHAR,East
854340,SUPAUL,BIHAR,East
854338,SUPAUL,BIHAR,East
851213,KHAGARIA,BIHAR,East
851214,KHAGARIA,BIHAR,East
851201,KHAGARIA,BIHAR,East
851204,KHAGARIA,BIHAR,East
852161,KHAGARIA,BIHAR,East
851203,KHAGARIA,BIHAR,East
851205,KHAGARIA,BIHAR,East
851212,KHAGARIA,BIHAR,East
851215,KHAGARIA,BIHAR,East
851216,KHAGARIA,BIHAR,East
848203,KHAGARIA,BIHAR,East
851206,KHAGARIA,BIHAR,East
851202,KHAGARIA,BIHAR,East
824304,AURANGABAD,BIHAR,East
824111,AURANGABAD,BIHAR,East
824123,AURANGABAD,BIHAR,East
824208,AURANGABAD,BIHAR,East
824303,AURANGABAD,BIHAR,East
824301,AURANGABAD,BIHAR,East
824124,AURANGABAD,BIHAR,East
824125,AURANGABAD,BIHAR,East
824102,AURANGABAD,BIHAR,East
824129,AURANGABAD,BIHAR,East
824115,AURANGABAD,BIHAR,East
824302,AURANGABAD,BIHAR,East
824103,AURANGABAD,BIHAR,East
824112,AURANGABAD,BIHAR,East
824113,AURANGABAD,BIHAR,East
824143,AURANGABAD,BIHAR,East
824202,AURANGABAD,BIHAR,East
824114,AURANGABAD,BIHAR,East
824203,AURANGABAD,BIHAR,East
824120,AURANGABAD,BIHAR,East
824122,AURANGABAD,BIHAR,East
824121,AURANGABAD,BIHAR,East
824101,AURANGABAD,BIHAR,East
802204,BHOJPUR,BIHAR,East
802158,BHOJPUR,BIHAR,East
802205,BHOJPUR,BIHAR,East
802183,BHOJPUR,BIHAR,East
802313,BHOJPUR,BIHAR,East
802206,BHOJPUR,BIHAR,East
802314,BHOJPUR,BIHAR,East
802159,BHOJPUR,BIHAR,East
802222,BHOJPUR,BIHAR,East
802162,BHOJPUR,BIHAR,East
802163,BHOJPUR,BIHAR,East
802160,BHOJPUR,BIHAR,East
802161,BHOJPUR,BIHAR,East
802207,BHOJPUR,BIHAR,East
802208,BHOJPUR,BIHAR,East
802156,BHOJPUR,BIHAR,East
802203,BHOJPUR,BIHAR,East
802202,BHOJPUR,BIHAR,East
802201,BHOJPUR,BIHAR,East
802352,BHOJPUR,BIHAR,East
802311,BHOJPUR,BIHAR,East
802351,BHOJPUR,BIHAR,East
802152,BHOJPUR,BIHAR,East
802312,BHOJPUR,BIHAR,East
802223,BHOJPUR,BIHAR,East
802154,BHOJPUR,BIHAR,East
802155,BHOJPUR,BIHAR,East
802157,BHOJPUR,BIHAR,East
802301,BHOJPUR,BIHAR,East
802164,BHOJPUR,BIHAR,East
802165,BHOJPUR,BIHAR,East
802316,BHOJPUR,BIHAR,East
802210,BHOJPUR,BIHAR,East
802166,BHOJPUR,BIHAR,East
802209,BHOJPUR,BIHAR,East
802302,BHOJPUR,BIHAR,East
847122,MADHUBANI,BIHAR,East
847227,MADHUBANI,BIHAR,East
847232,MADHUBANI,BIHAR,East
847421,MADHUBANI,BIHAR,East
847231,MADHUBANI,BIHAR,East
847214,MADHUBANI,BIHAR,East
847234,MADHUBANI,BIHAR,East
847215,MADHUBANI,BIHAR,East
847235,MADHUBANI,BIHAR,East
847236,MADHUBANI,BIHAR,East
847411,MADHUBANI,BIHAR,East
847308,MADHUBANI,BIHAR,East
847239,MADHUBANI,BIHAR,East
847424,MADHUBANI,BIHAR,East
847410,MADHUBANI,BIHAR,East
847240,MADHUBANI,BIHAR,East
847409,MADHUBANI,BIHAR,East
847238,MADHUBANI,BIHAR,East
847109,MADHUBANI,BIHAR,East
847408,MADHUBANI,BIHAR,East
847213,MADHUBANI,BIHAR,East
847108,MADHUBANI,BIHAR,East
847305,MADHUBANI,BIHAR,East
847401,MADHUBANI,BIHAR,East
847222,MADHUBANI,BIHAR,East
847224,MADHUBANI,BIHAR,East
847102,MADHUBANI,BIHAR,East
847225,MADHUBANI,BIHAR,East
847223,MADHUBANI,BIHAR,East
847212,MADHUBANI,BIHAR,East
847402,MADHUBANI,BIHAR,East
847226,MADHUBANI,BIHAR,East
847403,MADHUBANI,BIHAR,East
847229,MADHUBANI,BIHAR,East
847228,MADHUBANI,BIHAR,East
847404,MADHUBANI,BIHAR,East
847230,MADHUBANI,BIHAR,East
847211,MADHUBANI,BIHAR,East
847301,DARBHANGA,BIHAR,East
847104,DARBHANGA,BIHAR,East
847302,DARBHANGA,BIHAR,East
846003,DARBHANGA,BIHAR,East
847204,DARBHANGA,BIHAR,East
847427,DARBHANGA,BIHAR,East
847304,DARBHANGA,BIHAR,East
847121,DARBHANGA,BIHAR,East
847107,DARBHANGA,BIHAR,East
846009,DARBHANGA,BIHAR,East
847115,DARBHANGA,BIHAR,East
847306,DARBHANGA,BIHAR,East
846005,DARBHANGA,BIHAR,East
847307,DARBHANGA,BIHAR,East
847337,DARBHANGA,BIHAR,East
846007,DARBHANGA,BIHAR,East
847123,DARBHANGA,BIHAR,East
847202,DARBHANGA,BIHAR,East
847101,DARBHANGA,BIHAR,East
847105,DARBHANGA,BIHAR,East
847203,DARBHANGA,BIHAR,East
